date,dad,trt,water_trt,plant,diameter_mm,leaf_count,stage,fruit_count
3/17/2025,4,HP,d,33,23,8,v,0
3/17/2025,4,HP,d,34,23,8,v,0
3/17/2025,4,HP,d,35,18,7,v,0
3/17/2025,4,HP,d,36,17,7,v,0
3/17/2025,4,HP,w,37,27,6,v,0
3/17/2025,4,HP,d,38,24,7,v,0
3/17/2025,4,MV,w,1,23,7,v,0
3/17/2025,4,MV,w,2,18,7,v,0
3/17/2025,4,MV,d,3,16,5,v,0
3/17/2025,4,MV,d,4,29,8,v,0
3/17/2025,4,MV,d,5,28,10,v,0
3/17/2025,4,MV,d,6,20,6,v,0
3/17/2025,4,MV,d,7,25,8,v,0
3/17/2025,4,MV,w,8,26,8,v,0
3/17/2025,4,MV,d,9,20,9,v,0
3/17/2025,4,MV,d,10,22,8,v,0
3/17/2025,4,MV,w,11,25,7,v,0
3/17/2025,4,MV,d,12,22,8,v,0
3/17/2025,4,MV,w,13,34,12,v,0
3/17/2025,4,MV,d,14,26,8,v,0
3/17/2025,4,MV,d,15,17,5,v,0
3/17/2025,4,MV,d,16,24,7,v,0
3/17/2025,4,MV,w,17,29,12,v,0
3/17/2025,4,MV,w,18,14,5,v,0
3/17/2025,4,MV,d,19,24,7,v,0
3/17/2025,4,MV,d,20,23,7,v,0
3/17/2025,4,MV,w,21,20,7,v,0
3/17/2025,4,MV,d,22,22,7,v,0
3/17/2025,4,MV,d,23,15,3,v,0
3/17/2025,4,MV,d,24,30,7,v,0
3/17/2025,4,MV,d,25,21,6,v,0
3/17/2025,4,MV,w,26,27,8,v,0
3/17/2025,4,MV,d,27,26,13,v,0
3/17/2025,4,MV,w,28,17,6,v,0
3/17/2025,4,MV,d,29,34,8,v,0
3/17/2025,4,MV,w,30,24,8,v,0
3/17/2025,4,MV,w,31,24,8,v,0
3/17/2025,4,MV,w,32,21,7,v,0
3/17/2025,4,MV,w,33,14,5,v,0
3/17/2025,4,MV,w,34,29,8,v,0
3/17/2025,4,MV,w,35,24,5,v,0
3/17/2025,4,MV,w,36,24,7,v,0
3/17/2025,4,MV,w,37,29,8,v,0
3/17/2025,4,MV,w,38,41,12,v,0
3/21/2025,7,C,w,1,33,12,v,0
3/21/2025,7,C,w,2,25,7,v,0
3/21/2025,7,C,w,3,37,12,v,0
3/21/2025,7,C,w,4,31,7,v,0
3/21/2025,7,C,w,5,34,20,v,0
3/21/2025,7,C,w,6,33,10,v,0
3/21/2025,7,C,w,7,23,8,v,0
3/21/2025,7,C,d,8,29,8,v,0
3/21/2025,7,C,w,9,38,12,v,0
3/21/2025,7,C,d,10,28,9,v,0
3/21/2025,7,C,w,11,36,14,v,0
3/21/2025,7,C,w,12,29,7,v,0
3/21/2025,7,C,d,13,16,6,v,0
3/21/2025,7,C,w,14,35,9,v,0
3/21/2025,7,C,d,15,21,6,v,0
3/21/2025,7,C,w,16,26,8,v,0
3/21/2025,7,C,d,17,31,10,v,0
3/21/2025,7,C,d,18,20,4,v,0
3/21/2025,7,C,w,19,40,8,v,0
3/21/2025,7,C,d,20,14,6,v,0
3/21/2025,7,C,d,21,29,10,v,0
3/21/2025,7,C,d,22,24,8,v,0
3/21/2025,7,C,d,23,23,8,v,0
3/21/2025,7,C,w,24,37,6,v,0
3/21/2025,7,C,w,25,30,8,v,0
3/21/2025,7,C,w,26,30,8,v,0
3/21/2025,7,C,w,27,26,7,v,0
3/21/2025,7,C,d,28,41,12,v,0
3/21/2025,7,C,d,29,27,8,v,0
3/21/2025,7,C,w,30,37,12,v,0
3/21/2025,7,C,w,31,34,10,v,0
3/21/2025,7,C,d,32,30,9,v,0
3/21/2025,7,C,d,33,29,6,v,0
3/21/2025,7,C,d,34,29,9,v,0
3/21/2025,7,C,d,35,24,8,v,0
3/21/2025,7,C,d,36,25,7,v,0
3/21/2025,7,C,d,37,29,5,v,0
3/21/2025,7,C,d,38,24,8,v,0
3/21/2025,7,E,d,1,23,8,v,0
3/21/2025,7,E,d,2,25,9,v,0
3/21/2025,7,E,w,3,29,8,v,0
3/21/2025,7,E,d,4,18,8,v,0
3/21/2025,7,E,d,5,29,14,v,0
3/21/2025,7,E,w,6,24,8,v,0
3/21/2025,7,E,w,7,32,12,v,0
3/21/2025,7,E,w,8,30,10,v,0
3/21/2025,7,E,d,9,27,7,v,0
3/21/2025,7,E,w,10,26,8,v,0
3/21/2025,7,E,w,11,26,8,v,0
3/21/2025,7,E,w,12,33,8,v,0
3/21/2025,7,E,d,13,23,8,v,0
3/21/2025,7,E,d,14,25,8,v,0
3/21/2025,7,E,w,15,27,10,v,0
3/21/2025,7,E,d,16,11,7,v,0
3/21/2025,7,E,w,17,14,4,v,0
3/21/2025,7,E,w,18,22,10,v,0
3/21/2025,7,E,w,19,30,9,v,0
3/21/2025,7,E,d,20,22,8,v,0
3/21/2025,7,E,w,21,27,9,v,0
3/21/2025,7,E,w,22,18,6,v,0
3/21/2025,7,E,w,23,31,9,v,0
3/21/2025,7,E,d,24,36,8,v,0
3/21/2025,7,E,d,25,22,9,v,0
3/21/2025,7,E,d,26,28,8,v,0
3/21/2025,7,E,d,27,27,14,v,0
3/21/2025,7,E,d,28,20,8,v,0
3/21/2025,7,E,w,29,22,8,v,0
3/21/2025,7,E,w,30,28,9,v,0
3/21/2025,7,E,d,31,30,9,v,0
3/21/2025,7,E,d,32,21,6,v,0
3/21/2025,7,E,w,33,39,12,v,0
3/21/2025,7,E,d,34,21,5,v,0
3/21/2025,7,E,w,35,45,14,v,0
3/21/2025,7,E,w,36,30,7,v,0
3/21/2025,7,E,d,37,24,15,v,0
3/21/2025,7,E,d,38,26,10,v,0
3/21/2025,7,T,d,1,29,10,v,0
3/21/2025,7,T,w,2,19,10,v,0
3/21/2025,7,T,d,3,20,7,v,0
3/21/2025,7,T,d,4,15,3,v,0
3/21/2025,7,T,w,5,24,8,v,0
3/21/2025,7,T,d,6,22,9,v,0
3/21/2025,7,T,d,7,23,9,v,0
3/21/2025,7,T,w,8,23,12,v,0
3/21/2025,7,T,w,9,29,10,v,0
3/21/2025,7,T,d,10,20,8,v,0
3/21/2025,7,T,d,11,25,10,v,0
3/21/2025,7,T,w,12,24,10,v,0
3/21/2025,7,T,d,13,22,7,v,0
3/21/2025,7,T,d,14,18,8,v,0
3/21/2025,7,T,d,15,29,10,v,0
3/21/2025,7,T,d,16,17,5,v,0
3/21/2025,7,T,w,17,16,7,v,0
3/21/2025,7,T,w,18,20,8,v,0
3/21/2025,7,T,d,19,16,8,v,0
3/21/2025,7,T,w,20,26,8,v,0
3/21/2025,7,T,w,21,16,4,v,0
3/21/2025,7,T,d,22,24,8,v,0
3/21/2025,7,T,d,23,24,9,v,0
3/21/2025,7,T,d,24,27,8,v,0
3/21/2025,7,T,w,25,20,8,v,0
3/21/2025,7,T,d,26,17,6,v,0
3/21/2025,7,T,d,27,20,6,v,0
3/21/2025,7,T,d,28,21,7,v,0
3/21/2025,7,T,d,29,17,6,v,0
3/21/2025,7,T,w,30,18,7,v,0
3/21/2025,7,T,w,31,20,8,v,0
3/21/2025,7,T,w,32,30,11,v,0
3/21/2025,7,T,w,33,29,12,v,0
3/21/2025,7,T,w,34,21,7,v,0
3/21/2025,7,T,w,35,33,10,v,0
3/21/2025,7,T,w,36,24,7,v,0
3/21/2025,7,T,w,37,27,8,v,0
3/21/2025,7,T,w,38,29,10,v,0
3/21/2025,7,HP,d,1,16,4,v,0
3/21/2025,7,HP,w,2,27,8,v,0
3/21/2025,7,HP,w,3,17,5,v,0
3/21/2025,7,HP,d,4,27,9,v,0
3/21/2025,7,HP,d,5,23,9,v,0
3/21/2025,7,HP,d,6,28,8,v,0
3/21/2025,7,HP,w,7,34,18,v,0
3/21/2025,7,HP,w,8,27,9,v,0
3/21/2025,7,HP,w,9,30,9,v,0
3/21/2025,7,HP,w,10,na,na,na,na
3/21/2025,7,HP,w,11,26,8,v,0
3/21/2025,7,HP,d,12,28,8,v,0
3/21/2025,7,HP,w,13,23,6,v,0
3/21/2025,7,HP,w,14,20,6,v,0
3/21/2025,7,HP,w,15,23,9,v,0
3/21/2025,7,HP,w,16,29,8,v,0
3/21/2025,7,HP,w,17,27,8,v,0
3/21/2025,7,HP,d,18,19,6,v,0
3/21/2025,7,HP,w,19,19,6,v,0
3/21/2025,7,HP,w,20,25,8,v,0
3/21/2025,7,HP,w,21,26,8,v,0
3/21/2025,7,HP,d,22,30,14,v,0
3/21/2025,7,HP,d,23,24,7,v,0
3/21/2025,7,HP,d,24,22,7,v,0
3/21/2025,7,HP,d,25,27,6,v,0
3/21/2025,7,HP,d,26,23,7,v,0
3/21/2025,7,HP,d,27,13,6,v,0
3/21/2025,7,HP,d,28,21,8,v,0
3/21/2025,7,HP,d,29,17,7,v,0
3/21/2025,7,HP,w,30,35,19,v,0
